R,G,B,TYPE
182,187,190,1
189,193,194,1
188,194,194,1
191,195,196,1
190,196,196,1
194,198,197,1
137,143,139,1
163,172,171,1
158,164,162,1
142,152,151,1
146,155,154,1
148,158,159,1
147,156,153,1
56,62,60,1
139,145,143,1
81,87,83,1
110,119,116,1
130,139,138,1
139,148,147,1
135,145,144,1
143,153,154,1
135,147,147,1
137,147,146,1
137,147,146,1
137,147,146,1
158,167,166,1
175,181,179,1
181,187,187,1
170,176,174,1
167,173,171,1
170,176,174,1
160,166,164,1
191,195,194,1
177,182,178,1
180,186,186,1
170,176,176,1
179,185,185,1
168,176,178,1
100,120,129,1
114,132,142,1
106,124,138,1
119,137,151,1
111,129,139,1
121,139,153,1
130,148,162,1
134,152,166,1
143,160,176,1
147,165,179,1
158,176,190,1
161,178,194,1
177,190,207,1
179,192,209,1
190,207,227,1
198,210,232,1
211,223,245,1
208,221,238,1
187,204,220,1
151,169,183,1
119,137,151,1
132,146,157,1
148,162,173,1
166,176,188,1
159,173,184,1
163,181,195,1
154,168,179,1
141,151,163,1
125,135,147,1
140,153,161,1
148,166,180,1
141,155,166,1
158,171,187,1
114,131,141,1
132,150,164,1
122,140,154,1
52,59,51,1
64,71,64,1
124,144,153,1
128,147,161,1
124,142,152,1
127,145,159,1
133,153,162,1
137,157,166,1
139,159,168,1
145,163,177,1
144,163,177,1
148,165,181,1
155,172,188,1
153,166,182,1
153,171,185,1
148,166,180,1
150,164,175,1
124,138,149,1
127,141,152,1
155,167,183,1
152,164,180,1
151,163,179,1
155,167,183,1
153,161,174,1
155,167,179,1
151,163,175,1
151,159,170,1
155,163,174,1
157,166,175,1
161,170,179,1
158,165,175,1
172,178,190,1
173,180,190,1
173,182,191,1
180,199,213,1
183,197,206,1
184,193,202,1
183,196,204,1
181,199,213,1
145,170,192,1
166,187,204,1
185,198,214,1
167,188,205,1
175,188,204,1
168,186,210,1
173,185,201,1
169,190,207,1
134,158,186,1
169,186,204,1
170,191,212,1
174,192,214,1
175,192,210,1
187,204,222,1
173,188,195,1
194,209,216,1
201,214,223,1
199,212,220,1
198,212,221,1
201,214,222,1
155,180,200,1
198,216,230,1
214,227,236,1
198,216,230,1
187,200,209,1
197,215,229,1
148,173,195,1
194,213,227,1
195,213,223,1
190,209,216,1
175,190,197,1
186,201,208,1
176,191,198,1
186,201,208,1
197,212,219,1
199,213,222,1
198,217,224,1
202,216,225,1
197,215,225,1
198,212,223,1
193,207,218,1
180,198,212,1
176,193,209,1
183,197,208,1
180,194,205,1
193,207,216,1
198,212,221,1
179,193,204,1
198,211,219,1
167,188,205,1
123,187,231,1
150,206,253,1
128,191,242,1
155,207,254,1
130,188,236,1
160,207,251,1
143,194,241,1
169,212,254,1
158,211,253,1
158,211,253,1
138,196,242,1
165,210,251,1
127,189,240,1
128,188,240,1
159,207,247,1
121,186,240,1
169,214,255,1
125,192,237,1
167,215,255,1
159,210,253,1
139,199,251,1
108,179,235,1
138,198,250,1
136,194,242,1
159,207,247,1
124,185,232,1
165,214,254,1
139,197,237,1
178,223,255,1
163,217,255,1
188,230,255,1
124,188,234,1
165,217,255,1
157,215,255,1
187,229,254,1
158,213,252,1
140,203,246,1
189,231,255,1
210,247,255,1
213,243,254,1
202,238,254,1
208,241,255,1
207,240,255,1
173,219,253,1
137,194,237,1
196,232,255,1
182,221,252,1
177,224,254,1
190,230,255,1
191,226,254,1
204,229,249,1
153,196,230,1
183,219,253,1
213,241,255,1
209,243,255,1
204,240,254,1
195,231,255,1
206,237,255,1
173,219,255,1
175,221,255,1
155,106,48,1
243,205,158,1
213,192,147,1
216,199,156,1
217,197,147,1
213,190,136,1
216,193,141,1
220,201,145,1
210,197,145,1
218,204,157,1
213,197,146,1
200,184,132,1
213,200,148,1
214,191,139,1
210,187,133,1
219,196,144,1
208,191,145,1
218,201,158,1
225,196,154,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
227,211,196,1
233,233,223,1
255,255,255,1
222,205,179,1
255,255,255,1
243,234,235,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
218,201,157,1
235,229,217,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
244,232,246,1
243,231,243,1
250,244,248,1
255,248,255,1
255,243,255,1
251,239,251,1
255,255,255,1
255,255,255,1
