R,G,B,TYPE
48,45,52,1
126,145,162,1
139,143,154,1
180,193,210,1
207,208,213,1
127,134,144,1
180,193,210,1
128,134,150,1
176,189,208,1
174,187,206,1
180,193,212,1
167,180,197,1
142,149,167,1
160,173,190,1
148,156,167,1
118,123,129,1
101,121,148,1
165,181,206,1
174,186,210,1
170,183,202,1
170,186,211,1
162,178,203,1
169,181,205,1
172,184,208,1
168,181,200,1
171,187,210,1
171,187,210,1
169,183,209,1
168,184,207,1
168,184,207,1
182,184,205,1
181,194,213,1
182,195,214,1
192,203,223,1
191,198,217,1
178,186,205,1
187,194,212,1
205,212,230,1
214,226,242,1
145,152,170,1
155,168,187,1
161,177,200,1
170,186,209,1
136,152,177,1
174,190,213,1
153,161,172,1
121,137,160,1
139,151,175,1
169,181,205,1
166,182,207,1
127,140,149,1
167,167,165,1
141,146,152,1
184,191,209,1
108,116,129,1
187,195,208,1
188,196,209,1
183,189,203,1
186,192,204,1
182,188,200,1
176,184,195,1
179,185,197,1
175,183,194,1
170,177,187,1
181,187,199,1
179,185,197,1
169,169,177,1
167,175,186,1
174,181,191,1
178,186,199,1
243,241,244,1
209,209,217,1
140,144,153,1
177,185,196,1
182,190,203,1
185,192,210,1
142,149,167,1
160,173,190,1
148,156,167,1
118,123,129,1
101,121,148,1
165,181,206,1
174,186,210,1
170,183,202,1
170,186,211,1
187,194,212,1
187,195,206,1
174,182,193,1
181,189,200,1
173,181,192,1
174,180,192,1
169,177,188,1
168,176,187,1
172,179,189,1
175,183,194,1
171,180,189,1
172,178,190,1
174,180,192,1
174,183,192,1
174,181,191,1
178,186,199,1
243,241,244,1
209,209,217,1
140,144,153,1
177,185,196,1
182,190,203,1
185,192,210,1
142,149,167,1
160,173,190,1
148,156,167,1
118,123,129,1
101,121,148,1
165,181,206,1
174,186,210,1
170,183,202,1
170,186,211,1
187,194,212,1
187,195,206,1
174,182,193,1
172,181,190,1
187,195,208,1
185,197,213,1
184,191,209,1
181,189,202,1
180,188,201,1
178,185,203,1
180,186,202,1
172,176,187,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
250,245,251,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
136,105,74,1
95,69,32,1
159,126,95,1
104,79,57,1
147,125,88,1
138,107,78,1
67,46,17,1
74,57,29,1
62,50,34,1
111,92,59,1
119,100,70,1
131,105,72,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
113,94,62,1
116,93,59,1
255,253,255,1
101,80,51,1
255,255,255,1
255,255,255,1
151,125,92,1
105,90,57,1
255,255,255,1
255,255,255,1
255,255,255,1
204,199,205,1
255,255,255,1
239,227,237,1
255,255,255,1
227,213,226,1
255,255,255,1
214,216,228,1
255,254,255,1
199,190,209,1
255,255,255,1
202,188,188,1
255,255,255,1
130,160,171,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,255,255,1
255,74,102,2
253,96,125,2
247,59,94,2
226,27,48,2
224,7,18,2
225,19,39,2
235,23,46,2
251,15,29,2
253,55,80,2
221,79,93,2
244,4,39,2
241,15,35,2
249,16,37,2
241,87,99,2
255,75,102,2
255,19,35,2
